,task,block,trial,key_pressed,timestamp,coordinate,rt
0,nav,1,1,start,2021-10-07 13:44:53.940763-07:00,"(1.0, 1.0)",0
1,nav,1,1,right,2021-10-07 13:45:07.020863-07:00,"(2.0, 1.0)",13080.1
2,nav,1,1,down,2021-10-07 13:45:07.962831-07:00,"(2.0, 2.0)",941.9680000000001
3,nav,1,1,down,2021-10-07 13:45:08.415180-07:00,"(2.0, 3.0)",452.349
4,nav,1,1,right,2021-10-07 13:45:08.706927-07:00,"(3.0, 3.0)",291.74699999999996
5,nav,1,1,right,2021-10-07 13:45:08.886681-07:00,"(4.0, 3.0)",179.754
6,nav,1,1,up,2021-10-07 13:45:09.189899-07:00,"(4.0, 2.0)",303.21799999999996
7,nav,1,1,up,2021-10-07 13:45:09.331936-07:00,"(4.0, 1.0)",142.037
8,nav,1,1,right,2021-10-07 13:45:09.598015-07:00,"(5.0, 1.0)",266.079
9,nav,1,1,right,2021-10-07 13:45:09.755354-07:00,"(6.0, 1.0)",157.339
10,nav,1,1,right,2021-10-07 13:45:09.948498-07:00,"(7.0, 1.0)",193.144
11,nav,1,1,right,2021-10-07 13:45:10.092212-07:00,"(8.0, 1.0)",143.714
12,nav,1,1,right,2021-10-07 13:45:13.103016-07:00,"(9.0, 1.0)",3010.8039999999996
13,nav,1,2,start,2021-10-07 13:45:14.189798-07:00,"(1.0, 1.0)",0
14,nav,1,2,right,2021-10-07 13:45:24.428813-07:00,"(2.0, 1.0)",10239.015
15,nav,1,2,right,2021-10-07 13:45:24.604356-07:00,"(3.0, 1.0)",175.543
16,nav,1,2,right,2021-10-07 13:45:24.755723-07:00,"(4.0, 1.0)",151.367
17,nav,1,2,down,2021-10-07 13:45:24.942214-07:00,"(4.0, 2.0)",186.49099999999999
18,nav,1,2,down,2021-10-07 13:45:25.220380-07:00,"(4.0, 3.0)",278.166
19,nav,1,2,down,2021-10-07 13:45:25.357009-07:00,"(4.0, 4.0)",136.629
20,nav,1,2,down,2021-10-07 13:45:25.516461-07:00,"(4.0, 5.0)",159.452
21,nav,1,2,down,2021-10-07 13:45:25.675546-07:00,"(4.0, 6.0)",159.085
22,nav,1,2,down,2021-10-07 13:45:25.782055-07:00,"(4.0, 7.0)",106.509
23,nav,1,2,right,2021-10-07 13:45:26.067560-07:00,"(5.0, 7.0)",285.505
24,nav,1,2,right,2021-10-07 13:45:26.250951-07:00,"(6.0, 7.0)",183.391
25,nav,1,3,start,2021-10-07 13:45:27.310558-07:00,"(1.0, 1.0)",0
26,nav,1,3,right,2021-10-07 13:45:33.281110-07:00,"(2.0, 1.0)",5970.552
27,nav,1,3,right,2021-10-07 13:45:33.429324-07:00,"(3.0, 1.0)",148.214
28,nav,1,3,right,2021-10-07 13:45:33.571980-07:00,"(4.0, 1.0)",142.656
29,nav,1,3,right,2021-10-07 13:45:33.964658-07:00,"(5.0, 1.0)",392.67800000000005
30,nav,1,3,down,2021-10-07 13:45:34.194384-07:00,"(5.0, 2.0)",229.72600000000003
31,nav,1,3,down,2021-10-07 13:45:34.327100-07:00,"(5.0, 3.0)",132.716
32,nav,1,3,down,2021-10-07 13:45:34.481592-07:00,"(5.0, 4.0)",154.492
33,nav,1,3,down,2021-10-07 13:45:34.613499-07:00,"(5.0, 5.0)",131.90699999999998
34,nav,1,3,down,2021-10-07 13:45:34.736189-07:00,"(5.0, 6.0)",122.69
35,nav,1,3,right,2021-10-07 13:45:34.988605-07:00,"(6.0, 6.0)",252.41599999999997
36,nav,1,3,right,2021-10-07 13:45:35.262982-07:00,"(7.0, 6.0)",274.377
37,nav,1,3,up,2021-10-07 13:45:35.654673-07:00,"(7.0, 5.0)",391.69100000000003
38,nav,1,4,start,2021-10-07 13:45:36.733658-07:00,"(1.0, 1.0)",0
39,nav,1,4,right,2021-10-07 13:45:42.300432-07:00,"(2.0, 1.0)",5566.773999999999
40,nav,1,4,right,2021-10-07 13:45:42.414106-07:00,"(3.0, 1.0)",113.67399999999999
41,nav,1,4,right,2021-10-07 13:45:42.563716-07:00,"(4.0, 1.0)",149.60999999999999
42,nav,1,4,down,2021-10-07 13:45:42.747567-07:00,"(4.0, 2.0)",183.851
43,nav,1,4,down,2021-10-07 13:45:42.917156-07:00,"(4.0, 3.0)",169.589
44,nav,1,4,down,2021-10-07 13:45:43.036225-07:00,"(4.0, 4.0)",119.06899999999999
45,nav,1,4,down,2021-10-07 13:45:43.197145-07:00,"(4.0, 5.0)",160.92000000000002
46,nav,1,4,right,2021-10-07 13:45:43.414222-07:00,"(5.0, 5.0)",217.077
47,nav,1,4,right,2021-10-07 13:45:43.577392-07:00,"(6.0, 5.0)",163.17000000000002
48,nav,1,4,up,2021-10-07 13:45:43.775630-07:00,"(6.0, 4.0)",198.238
49,nav,1,4,up,2021-10-07 13:45:43.908353-07:00,"(6.0, 3.0)",132.723
50,nav,1,4,right,2021-10-07 13:45:44.305802-07:00,"(7.0, 3.0)",397.449
51,nav,1,4,right,2021-10-07 13:45:44.547861-07:00,"(8.0, 3.0)",242.059
52,nav,1,5,start,2021-10-07 13:45:45.613334-07:00,"(1.0, 1.0)",0
53,nav,1,5,right,2021-10-07 13:45:56.538533-07:00,"(2.0, 1.0)",10925.198999999999
54,nav,1,5,down,2021-10-07 13:45:56.735662-07:00,"(2.0, 2.0)",197.129
55,nav,1,5,down,2021-10-07 13:45:56.873431-07:00,"(2.0, 3.0)",137.769
56,nav,1,5,down,2021-10-07 13:45:57.026320-07:00,"(2.0, 4.0)",152.889
57,nav,1,5,down,2021-10-07 13:45:57.161125-07:00,"(2.0, 5.0)",134.805
58,nav,1,5,down,2021-10-07 13:45:57.735485-07:00,"(2.0, 6.0)",574.36
59,nav,1,5,right,2021-10-07 13:45:57.979176-07:00,"(3.0, 6.0)",243.691
60,nav,1,5,right,2021-10-07 13:45:58.137513-07:00,"(4.0, 6.0)",158.33700000000002
61,nav,1,5,right,2021-10-07 13:45:58.299901-07:00,"(5.0, 6.0)",162.388
62,nav,1,5,right,2021-10-07 13:45:58.616936-07:00,"(6.0, 6.0)",317.035
63,nav,1,5,up,2021-10-07 13:45:58.840109-07:00,"(6.0, 5.0)",223.173
64,nav,1,5,up,2021-10-07 13:45:59.129543-07:00,"(6.0, 4.0)",289.434
65,nav,1,5,left,2021-10-07 13:45:59.354049-07:00,"(5.0, 4.0)",224.506
66,nav,1,5,left,2021-10-07 13:45:59.497004-07:00,"(4.0, 4.0)",142.955
67,nav,1,5,up,2021-10-07 13:45:59.746115-07:00,"(4.0, 3.0)",249.111
68,nav,1,6,start,2021-10-07 13:46:00.815460-07:00,"(1.0, 1.0)",0
69,nav,1,6,right,2021-10-07 13:46:08.265831-07:00,"(2.0, 1.0)",7450.370999999999
70,nav,1,6,down,2021-10-07 13:46:08.515846-07:00,"(2.0, 2.0)",250.015
71,nav,1,6,down,2021-10-07 13:46:08.666135-07:00,"(2.0, 3.0)",150.28900000000002
72,nav,1,6,down,2021-10-07 13:46:08.799407-07:00,"(2.0, 4.0)",133.272
73,nav,1,6,left,2021-10-07 13:46:09.035284-07:00,"(1.0, 4.0)",235.877
74,nav,1,6,down,2021-10-07 13:46:09.347031-07:00,"(1.0, 5.0)",311.747
75,nav,1,6,down,2021-10-07 13:46:09.518252-07:00,"(1.0, 6.0)",171.221
76,nav,1,7,start,2021-10-07 13:46:10.588143-07:00,"(1.0, 1.0)",0
77,nav,1,7,right,2021-10-07 13:46:12.261250-07:00,"(2.0, 1.0)",1673.107
78,nav,1,7,right,2021-10-07 13:46:21.565185-07:00,"(3.0, 1.0)",9303.935
79,nav,1,7,right,2021-10-07 13:46:21.725904-07:00,"(4.0, 1.0)",160.719
80,nav,1,7,right,2021-10-07 13:46:21.882910-07:00,"(5.0, 1.0)",157.006
81,nav,1,7,down,2021-10-07 13:46:22.082822-07:00,"(5.0, 2.0)",199.912
82,nav,1,7,down,2021-10-07 13:46:22.238810-07:00,"(5.0, 3.0)",155.988
83,nav,1,7,left,2021-10-07 13:46:22.494766-07:00,"(4.0, 3.0)",255.95600000000002
84,nav,1,7,left,2021-10-07 13:46:22.595734-07:00,"(3.0, 3.0)",100.968
85,nav,1,7,left,2021-10-07 13:46:23.133495-07:00,"(2.0, 3.0)",537.7610000000001
86,nav,1,7,down,2021-10-07 13:46:23.333009-07:00,"(2.0, 4.0)",199.514
87,nav,1,7,down,2021-10-07 13:46:23.483133-07:00,"(2.0, 5.0)",150.124
88,nav,1,8,start,2021-10-07 13:46:24.575056-07:00,"(1.0, 1.0)",0
89,nav,1,8,right,2021-10-07 13:46:33.765511-07:00,"(2.0, 1.0)",9190.455
90,nav,1,8,right,2021-10-07 13:46:33.965489-07:00,"(3.0, 1.0)",199.97799999999998
91,nav,1,8,right,2021-10-07 13:46:34.116413-07:00,"(4.0, 1.0)",150.924
92,nav,1,8,right,2021-10-07 13:46:34.268306-07:00,"(5.0, 1.0)",151.893
93,nav,1,8,down,2021-10-07 13:46:34.697958-07:00,"(5.0, 2.0)",429.652
94,nav,1,8,down,2021-10-07 13:46:34.698028-07:00,"(5.0, 3.0)",0.06999999999999999
95,nav,1,8,down,2021-10-07 13:46:34.766385-07:00,"(5.0, 4.0)",68.357
96,nav,1,8,down,2021-10-07 13:46:35.246424-07:00,"(5.0, 5.0)",480.039
97,nav,1,8,left,2021-10-07 13:46:35.408217-07:00,"(4.0, 5.0)",161.793
98,nav,1,8,left,2021-10-07 13:46:35.523158-07:00,"(3.0, 5.0)",114.941
99,nav,1,8,up,2021-10-07 13:46:35.829989-07:00,"(3.0, 4.0)",306.831
100,nav,1,8,up,2021-10-07 13:46:35.973345-07:00,"(3.0, 3.0)",143.35600000000002
101,nav,1,8,left,2021-10-07 13:46:36.172040-07:00,"(2.0, 3.0)",198.69500000000002
102,nav,1,8,left,2021-10-07 13:46:36.324229-07:00,"(1.0, 3.0)",152.189
103,quiz,1,1,,,"(5.0, 5.0)",
104,quiz,1,2,,,"(5.0, 4.0)",
105,quiz,1,3,,,"(4.0, 3.0)",
106,quiz,1,4,,,"(4.0, 3.0)",
107,quiz,1,5,,,"(5.0, 4.0)",
108,quiz,1,6,,,"(5.0, 6.0)",
109,quiz,1,7,,,"(5.0, 6.0)",
110,quiz,1,8,,,"(5.0, 6.0)",
111,nav,2,1,start,2021-10-07 13:48:09.794542-07:00,"(1.0, 1.0)",0
112,nav,2,1,right,2021-10-07 13:48:29.902813-07:00,"(2.0, 1.0)",20108.270999999997
113,nav,2,1,down,2021-10-07 13:48:30.785554-07:00,"(2.0, 2.0)",882.741
114,nav,2,1,down,2021-10-07 13:48:30.928596-07:00,"(2.0, 3.0)",143.042
115,nav,2,1,down,2021-10-07 13:48:31.073062-07:00,"(2.0, 4.0)",144.466
116,nav,2,1,down,2021-10-07 13:48:31.183360-07:00,"(2.0, 5.0)",110.29799999999999
117,nav,2,1,down,2021-10-07 13:48:31.352047-07:00,"(2.0, 6.0)",168.687
118,nav,2,1,right,2021-10-07 13:48:31.616080-07:00,"(3.0, 6.0)",264.033
119,nav,2,1,right,2021-10-07 13:48:31.775956-07:00,"(4.0, 6.0)",159.87599999999998
120,nav,2,1,right,2021-10-07 13:48:31.928032-07:00,"(5.0, 6.0)",152.076
121,nav,2,1,right,2021-10-07 13:48:32.080344-07:00,"(6.0, 6.0)",152.312
122,nav,2,1,up,2021-10-07 13:48:32.312671-07:00,"(6.0, 5.0)",232.327
123,nav,2,1,up,2021-10-07 13:48:32.735843-07:00,"(6.0, 4.0)",423.17199999999997
124,nav,2,1,left,2021-10-07 13:48:32.995143-07:00,"(5.0, 4.0)",259.29999999999995
125,nav,2,1,left,2021-10-07 13:48:33.111170-07:00,"(4.0, 4.0)",116.027
126,nav,2,1,up,2021-10-07 13:48:33.536086-07:00,"(4.0, 3.0)",424.916
127,nav,2,2,start,2021-10-07 13:48:34.624012-07:00,"(1.0, 1.0)",0
128,nav,2,2,right,2021-10-07 13:49:27.900316-07:00,"(2.0, 1.0)",53276.304000000004
129,nav,2,2,right,2021-10-07 13:49:28.044859-07:00,"(3.0, 1.0)",144.543
130,nav,2,2,right,2021-10-07 13:49:28.180068-07:00,"(4.0, 1.0)",135.209
131,nav,2,2,right,2021-10-07 13:49:28.329165-07:00,"(5.0, 1.0)",149.097
132,nav,2,2,down,2021-10-07 13:49:29.241276-07:00,"(5.0, 2.0)",912.111
133,nav,2,2,down,2021-10-07 13:49:29.532586-07:00,"(5.0, 3.0)",291.31
134,nav,2,2,down,2021-10-07 13:49:34.803200-07:00,"(5.0, 4.0)",5270.6140000000005
135,nav,2,2,down,2021-10-07 13:49:34.914467-07:00,"(5.0, 5.0)",111.26700000000001
136,nav,2,2,down,2021-10-07 13:49:35.052328-07:00,"(5.0, 6.0)",137.86100000000002
137,nav,2,2,right,2021-10-07 13:49:35.283122-07:00,"(6.0, 6.0)",230.794
138,nav,2,2,right,2021-10-07 13:49:35.452651-07:00,"(7.0, 6.0)",169.52900000000002
139,nav,2,2,up,2021-10-07 13:49:35.870483-07:00,"(7.0, 5.0)",417.832
140,nav,2,3,start,2021-10-07 13:49:36.967183-07:00,"(1.0, 1.0)",0
141,nav,2,3,right,2021-10-07 13:49:51.732276-07:00,"(2.0, 1.0)",14765.093
142,nav,2,3,right,2021-10-07 13:49:51.916096-07:00,"(3.0, 1.0)",183.82000000000002
143,nav,2,3,right,2021-10-07 13:49:52.051325-07:00,"(4.0, 1.0)",135.22899999999998
