	key_pressed	timestamp	coordinate	rt
0	(5.0, 6.0)			
1	start	2021-09-20 10:19:12.901394-07:00	(1.0, 1.0)	0
2	right	2021-09-20 10:19:13.415220-07:00	(2.0, 1.0)	0:00:00.513826
3	right	2021-09-20 10:19:13.566185-07:00	(3.0, 1.0)	0:00:00.150965
4	right	2021-09-20 10:19:13.796290-07:00	(4.0, 1.0)	0:00:00.230105
5	right	2021-09-20 10:19:13.912545-07:00	(5.0, 1.0)	0:00:00.116255
6	down	2021-09-20 10:19:14.158617-07:00	(5.0, 2.0)	0:00:00.246072
7	down	2021-09-20 10:19:14.491436-07:00	(5.0, 3.0)	0:00:00.332819
8	right	2021-09-20 10:19:14.884462-07:00	(6.0, 3.0)	0:00:00.393026
9	right	2021-09-20 10:19:15.064009-07:00	(7.0, 3.0)	0:00:00.179547
10	right	2021-09-20 10:19:15.232486-07:00	(8.0, 3.0)	0:00:00.168477
11	right	2021-09-20 10:19:15.548182-07:00	(9.0, 3.0)	0:00:00.315696
12	left	2021-09-20 10:19:16.028467-07:00	(8.0, 3.0)	0:00:00.480285
13	left	2021-09-20 10:19:16.187752-07:00	(7.0, 3.0)	0:00:00.159285
14	left	2021-09-20 10:19:16.322526-07:00	(6.0, 3.0)	0:00:00.134774
15	left	2021-09-20 10:19:16.523527-07:00	(5.0, 3.0)	0:00:00.201001
16	left	2021-09-20 10:19:16.659228-07:00	(4.0, 3.0)	0:00:00.135701
17	left	2021-09-20 10:19:16.783350-07:00	(3.0, 3.0)	0:00:00.124122
18	left	2021-09-20 10:19:17.174543-07:00	(2.0, 3.0)	0:00:00.391193
19	(5.0, 5.0)			
20	start	2021-09-20 10:19:21.264674-07:00	(1.0, 1.0)	0
21	right	2021-09-20 10:19:21.633051-07:00	(2.0, 1.0)	0:00:00.368377
22	right	2021-09-20 10:19:21.818109-07:00	(3.0, 1.0)	0:00:00.185058
23	right	2021-09-20 10:19:21.990315-07:00	(4.0, 1.0)	0:00:00.172206
24	right	2021-09-20 10:19:22.146520-07:00	(5.0, 1.0)	0:00:00.156205
25	down	2021-09-20 10:19:22.421022-07:00	(5.0, 2.0)	0:00:00.274502
26	down	2021-09-20 10:19:22.586872-07:00	(5.0, 3.0)	0:00:00.165850
27	down	2021-09-20 10:19:22.777795-07:00	(5.0, 4.0)	0:00:00.190923
28	down	2021-09-20 10:19:22.913018-07:00	(5.0, 5.0)	0:00:00.135223
29	left	2021-09-20 10:19:23.589759-07:00	(4.0, 5.0)	0:00:00.676741
30	left	2021-09-20 10:19:23.812064-07:00	(3.0, 5.0)	0:00:00.222305
31	up	2021-09-20 10:19:24.714127-07:00	(3.0, 4.0)	0:00:00.902063
32	up	2021-09-20 10:19:24.928377-07:00	(3.0, 3.0)	0:00:00.214250
33	right	2021-09-20 10:19:25.232617-07:00	(4.0, 3.0)	0:00:00.304240
34	right	2021-09-20 10:19:25.412238-07:00	(5.0, 3.0)	0:00:00.179621
35	right	2021-09-20 10:19:25.581152-07:00	(6.0, 3.0)	0:00:00.168914
36	right	2021-09-20 10:19:25.783101-07:00	(7.0, 3.0)	0:00:00.201949
37	right	2021-09-20 10:19:25.929467-07:00	(8.0, 3.0)	0:00:00.146366
38	down	2021-09-20 10:19:26.378607-07:00	(8.0, 4.0)	0:00:00.449140
39	down	2021-09-20 10:19:26.581398-07:00	(8.0, 5.0)	0:00:00.202791
40	(5.0, 5.0)			
41	start	2021-09-20 10:19:30.670188-07:00	(1.0, 1.0)	0
42	right	2021-09-20 10:19:31.015353-07:00	(2.0, 1.0)	0:00:00.345165
43	right	2021-09-20 10:19:31.213464-07:00	(3.0, 1.0)	0:00:00.198111
44	right	2021-09-20 10:19:31.358893-07:00	(4.0, 1.0)	0:00:00.145429
45	down	2021-09-20 10:19:31.656865-07:00	(4.0, 2.0)	0:00:00.297972
46	down	2021-09-20 10:19:31.834100-07:00	(4.0, 3.0)	0:00:00.177235
47	down	2021-09-20 10:19:31.993117-07:00	(4.0, 4.0)	0:00:00.159017
48	down	2021-09-20 10:19:32.163803-07:00	(4.0, 5.0)	0:00:00.170686
49	right	2021-09-20 10:19:32.486950-07:00	(5.0, 5.0)	0:00:00.323147
50	right	2021-09-20 10:19:32.668088-07:00	(6.0, 5.0)	0:00:00.181138
51	up	2021-09-20 10:19:33.128822-07:00	(6.0, 4.0)	0:00:00.460734
52	up	2021-09-20 10:19:33.466504-07:00	(6.0, 3.0)	0:00:00.337682
53	up	2021-09-20 10:19:33.691791-07:00	(6.0, 2.0)	0:00:00.225287
54	right	2021-09-20 10:19:34.244001-07:00	(7.0, 2.0)	0:00:00.552210
55	(4.0, 6.0)			
56	start	2021-09-20 10:19:38.331103-07:00	(1.0, 1.0)	0
57	right	2021-09-20 10:19:38.695869-07:00	(2.0, 1.0)	0:00:00.364766
58	right	2021-09-20 10:19:38.897501-07:00	(3.0, 1.0)	0:00:00.201632
59	right	2021-09-20 10:19:39.056236-07:00	(4.0, 1.0)	0:00:00.158735
60	right	2021-09-20 10:19:39.246046-07:00	(5.0, 1.0)	0:00:00.189810
61	down	2021-09-20 10:19:39.486121-07:00	(5.0, 2.0)	0:00:00.240075
62	down	2021-09-20 10:19:39.641948-07:00	(5.0, 3.0)	0:00:00.155827
63	down	2021-09-20 10:19:39.822514-07:00	(5.0, 4.0)	0:00:00.180566
64	down	2021-09-20 10:19:39.980963-07:00	(5.0, 5.0)	0:00:00.158449
65	down	2021-09-20 10:19:40.126951-07:00	(5.0, 6.0)	0:00:00.145988
66	left	2021-09-20 10:19:40.651920-07:00	(4.0, 6.0)	0:00:00.524969
67	(3.0, 6.0)			
68	start	2021-09-20 10:19:44.765433-07:00	(1.0, 1.0)	0
69	right	2021-09-20 10:19:45.321470-07:00	(2.0, 1.0)	0:00:00.556037
70	down	2021-09-20 10:19:45.611668-07:00	(2.0, 2.0)	0:00:00.290198
71	down	2021-09-20 10:19:45.950591-07:00	(2.0, 3.0)	0:00:00.338923
72	down	2021-09-20 10:19:46.053257-07:00	(2.0, 4.0)	0:00:00.102666
73	down	2021-09-20 10:19:46.224100-07:00	(2.0, 5.0)	0:00:00.170843
74	right	2021-09-20 10:19:46.783431-07:00	(3.0, 5.0)	0:00:00.559331
75	down	2021-09-20 10:19:47.122396-07:00	(3.0, 6.0)	0:00:00.338965
76	down	2021-09-20 10:19:47.314846-07:00	(3.0, 7.0)	0:00:00.192450
77	right	2021-09-20 10:19:47.630778-07:00	(4.0, 7.0)	0:00:00.315932
78	right	2021-09-20 10:19:47.841924-07:00	(5.0, 7.0)	0:00:00.211146
79	up	2021-09-20 10:19:48.069060-07:00	(5.0, 6.0)	0:00:00.227136
80	up	2021-09-20 10:19:48.279619-07:00	(5.0, 5.0)	0:00:00.210559
81	up	2021-09-20 10:19:48.653649-07:00	(5.0, 4.0)	0:00:00.374030
